99774,Stevens Village,AK,66.0053,-149.103
99674,Sutton,AK,61.7513,-148.696
99675,Takotna,AK,62.9696,-156.103
99676,Talkeetna,AK,62.2983,-149.875
99776,Tanacross,AK,63.3762,-143.357
99777,Tanana,AK,65.172,-152.083
99677,Tatitlek,AK,60.8638,-146.68
99778,Teller,AK,65.2504,-166.355
99841,Tenakee Springs,AK,57.7776,-135.208
99779,Tetlin,AK,63.1353,-142.532
99919,Thorne Bay,AK,55.6772,-132.556
99678,Togiak,AK,59.1019,-160.504
99780,Tok,AK,63.3418,-142.937
99637,Toksook Bay,AK,60.5329,-165.105
99683,Trapper Creek,AK,62.4153,-150.37
99679,Tuluksak,AK,61.1029,-160.963
99680,Tuntutuliak,AK,60.3439,-162.666
99681,Tununak,AK,60.5821,-165.256
99716,Two Rivers,AK,64.8746,-146.898
99682,Tyonek,AK,61.0678,-151.142
99684,Unalakleet,AK,63.8821,-160.763
99685,Unalaska,AK,53.872,-166.523
99686,Valdez,AK,61.1282,-146.236
99781,Venetie,AK,67.0156,-146.417
99782,Wainwright,AK,70.6409,-160.025
99783,Wales,AK,65.6121,-168.089
99928,Ward Cove,AK,55.3954,-131.675
99654,Wasilla,AK,61.5802,-149.488
99687,Wasilla,AK,61.3917,-149.99
99784,White Mountain,AK,64.6843,-163.443
99693,Whittier,AK,60.6393,-148.542
99688,Willow,AK,61.7968,-150.078
99929,Wrangell,AK,56.4095,-132.338
99689,Yakutat,AK,59.5387,-139.711
36310,Abbeville,AL,31.5993,-85.2094
35440,Abernant,AL,33.311,-87.1898
35005,Adamsville,AL,33.5926,-86.9597
35540,Addison,AL,34.2231,-87.1723
35006,Adger,AL,33.4517,-87.2396
35441,Akron,AL,32.8715,-87.7333
35007,Alabaster,AL,33.2324,-86.8087
36720,Alberta,AL,32.1707,-87.3622
35950,Albertville,AL,34.2619,-86.2283
35951,Albertville,AL,34.313,-86.1928
35010,Alexander City,AL,32.9034,-85.9267
35011,Alexander City,AL,32.9902,-85.958
36250,Alexandria,AL,33.7661,-85.8897
